DocID,TF-IDF Scores
Doc 1,"mediator:0.1349, eksplorasi:0.1349, dampak:0.1349, tuju:0.1076, akuntansi:0.0855, kerja:0.0855, hijau:0.0855, teliti:0.0714, lingkung:0.0714, energi:0.0007, manajemen:0.0007"
Doc 2,"cenderung:0.1349, tinggi:0.1349, anggap:0.1349, usaha:0.1349, strategis:0.1076, teliti:0.0714, efisiensi:0.0581, tingkat:0.0554, energi:0.0013, manajemen:0.0007"
Doc 3,"efisiensi:0.1199, transisi:0.0928, aspek:0.0928, sedang:0.0928, murni:0.0928, produktivitas:0.0818, biaya:0.0740, tuju:0.0740, kembang:0.0679, kualitas:0.0629, kerja:0.0588, lingkung:0.0491, energi:0.0004, manajemen:0.0004"
Doc 4,"jamin:0.1090, sisi:0.0986, beri:0.0986, ruang:0.0839, kualitas:0.0839, mampu:0.0735, sistem:0.0735, lingkung:0.0654, efisiensi:0.0533, energi:0.0012, manajemen:0.0006"
Doc 5,"sedia:0.1090, bantu:0.1090, langgan:0.1090, karyawan:0.1090, puas:0.1090, ruang:0.0839, kualitas:0.0839, sistem:0.0735, lingkung:0.0654, tingkat:0.0508, energi:0.0006, manajemen:0.0006"
Doc 6,"mediasi:0.1479, pengaruh:0.1479, kerja:0.1175, akuntansi:0.1175, hijau:0.1175, lanjut:0.0982, energi:0.0009, manajemen:0.0009"
Doc 7,"islam:0.1060, rahman:0.1060, jalan:0.1060, temu:0.0934, mediasi:0.0845, pengaruh:0.0845, akuntansi:0.0672, kerja:0.0672, hijau:0.0672, hasil:0.0630, teliti:0.0561, lanjut:0.0561, energi:0.0005, manajemen:0.0005"
Doc 8,"mediasi:0.1479, pengaruh:0.1479, akuntansi:0.1175, kerja:0.1175, hijau:0.1175, lingkung:0.0982, energi:0.0009, manajemen:0.0009"
Doc 9,"bisnis:0.1649, langsung:0.1119, akuntansi:0.1045, hijau:0.1045, hasil:0.0980, teliti:0.0873, terap:0.0646, energi:0.0008, manajemen:0.0008"
Doc 10,"jamin:0.1090, sisi:0.0986, beri:0.0986, ruang:0.0839, kualitas:0.0839, mampu:0.0735, sistem:0.0735, lingkung:0.0654, efisiensi:0.0533, energi:0.0012, manajemen:0.0006"
Doc 11,"gilir:0.1142, sedia:0.1006, bantu:0.1006, langgan:0.1006, karyawan:0.1006, puas:0.1006, ruang:0.0775, kualitas:0.0775, sistem:0.0679, lingkung:0.0604, tingkat:0.0469, energi:0.0006, manajemen:0.0006"
Doc 12,"jawa:0.1649, timur:0.1649, akuntansi:0.1045, kerja:0.1045, hijau:0.1045, lanjut:0.0873, tingkat:0.0677, energi:0.0008, manajemen:0.0008"
Doc 13,"ojs:0.1649, lppm:0.1649, unila:0.1649, jss:0.1649, php:0.1454, article:0.1454, index:0.1454, view:0.1454, https:0.1315"
Doc 14,"fungsi:0.1060, kompetensi:0.1060, sampai:0.0934, bagaimana:0.0934, materi:0.0934, edukasi:0.0719, efisien:0.0719, praktik:0.0672, guna:0.0630, masyarakat:0.0630, audit:0.0435, listrik:0.0379, energi:0.0005, manajemen:0.0005"
Doc 15,"teknologi:0.1145, inovasi:0.1142, tari:0.1142, dorong:0.1142, khusus:0.1142, laku:0.1006, bas:0.0910, bidang:0.0910, edukasi:0.0775, audit:0.0469, energi:0.0006, manajemen:0.0006"
Doc 16,"masyarakat:0.0706, program:0.0594, berprilaku:0.0594, sadar:0.0594, sebar:0.0594, laksana:0.0523, standar:0.0523, konservasi:0.0523, upaya:0.0523, beri:0.0473, bas:0.0473, giat:0.0435, hemat:0.0403, praktik:0.0376, hasil:0.0353, guna:0.0353, alat:0.0353, teliti:0.0314, audit:0.0244, listrik:0.0212, energi:0.0009, manajemen:0.0003"
Doc 17,"prototype:0.0990, ukur:0.0990, komponen:0.0990, meter:0.0990, digital:0.0990, besar:0.0872, utama:0.0789, listrik:0.0530, rangka:0.0436, konsumsi:0.0426, manfaat:0.0362, hasil:0.0294, teliti:0.0262, teknologi:0.0248, audit:0.0203, energi:0.0010, manajemen:0.0002"
Doc 18,"teknik:0.0990, siapa:0.0990, elektro:0.0990, tindak:0.0990, indikasi:0.0990, manajamen:0.0990, standar:0.0872, perlu:0.0789, bidang:0.0789, dasar:0.0789, tahu:0.0724, boros:0.0671, energi:0.0010, manajemen:0.0005"
Doc 19,"tepat:0.1484, bentuk:0.1484, tahu:0.1086, edukasi:0.1007, langsung:0.1007, praktik:0.0940, masyarakat:0.0882, audit:0.0609, energi:0.0007, manajemen:0.0007"
Doc 20,"golong:0.1142, analisis:0.1142, poin:0.1006, pretest:0.1006, utama:0.0910, awal:0.0910, latih:0.0836, kurang:0.0723, mampu:0.0679, audit:0.0469, energi:0.0011, manajemen:0.0006"
Doc 21,"bandar:0.0928, lampung:0.0928, poin:0.0818, utama:0.0740, awal:0.0740, latih:0.0679, tahu:0.0679, langsung:0.0629, kurang:0.0588, praktik:0.0588, mampu:0.0551, konsumsi:0.0400, audit:0.0381, energi:0.0009, manajemen:0.0004"
Doc 22,"tim:0.1649, papar:0.1649, abdi:0.1649, pretest:0.1454, materi:0.1454, giat:0.1207, audit:0.0677, energi:0.0008, manajemen:0.0008"
Doc 23,"latih:0.1811, langsung:0.1679, praktik:0.1567, audit:0.1015, energi:0.0012, manajemen:0.0012"
Doc 24,"rekomendasi:0.1349, cetak:0.1349, referensi:0.1349, memebrikan:0.1349, perlu:0.1076, langsung:0.0916, hasil:0.0802, audit:0.0554, energi:0.0013, manajemen:0.0007"
Doc 25,"baik:0.1649, laku:0.1454, giat:0.1207, kurang:0.1045, mampu:0.0980, tingkat:0.0677, audit:0.0677, energi:0.0008, manajemen:0.0008"
Doc 26,"aplikasi:0.0990, siswa:0.0990, simpul:0.0990, konservasi:0.0872, laksana:0.0872, rangka:0.0872, ikut:0.0872, latih:0.0724, giat:0.0724, teknologi:0.0496, efisiensi:0.0426, audit:0.0406, energi:0.0010, manajemen:0.0005"
Doc 27,"evaluasi:0.1649, hubung:0.1649, tahu:0.1207, baru:0.1119, hasil:0.0980, teknologi:0.0827, audit:0.0677, energi:0.0008, manajemen:0.0008"
Doc 28,"semnastek:0.1855, umj:0.1855, php:0.1635, article:0.1635, index:0.1635, view:0.1635, jurnal:0.1479, https:0.1479"
Doc 29,"studi:0.0934, peran:0.0845, literatur:0.0845, sektor:0.0776, dekat:0.0719, teliti:0.0561, tangga:0.0504, rumah:0.0457, efisiensi:0.0457, konsumsi:0.0457, tingkat:0.0435, listrik:0.0379, energi:0.0005, manajemen:0.0005"
Doc 30,"tarif:0.0495, signifikan:0.0436, panel:0.0436, atap:0.0436, surya:0.0436, tekan:0.0436, integrasi:0.0394, literasi:0.0394, pintar:0.0394, bas:0.0394, waktu:0.0394, bukti:0.0394, terap:0.0387, manfaat:0.0362, edukasi:0.0336, boros:0.0336, baru:0.0336, hemat:0.0336, mampu:0.0294, alat:0.0294, sistem:0.0294, teknologi:0.0248, rumah:0.0213, energi:0.0012, manajemen:0.0002"
Doc 31,"strategis:0.1315, kelola:0.1315, bijak:0.1207, efisien:0.1119, dekat:0.1119, konsumsi:0.0710, listrik:0.0589, energi:0.0008, manajemen:0.0008"
Doc 32,"negara:0.2284, hadap:0.1142, implementasi:0.1006, tantang:0.0910, bukti:0.0910, manfaat:0.0836, indonesia:0.0775, praktik:0.0723, teliti:0.0604, terap:0.0447, energi:0.0006, manajemen:0.0006"
Doc 33,"efektif:0.1090, bagaimana:0.1090, paham:0.1090, perlu:0.0986, kaji:0.0905, sektor:0.0905, indonesia:0.0839, lanjut:0.0654, tangga:0.0588, rumah:0.0533, energi:0.0006, manajemen:0.0006"
Doc 34,"tulis:0.1060, ilmiah:0.0934, temu:0.0934, peran:0.0845, literatur:0.0845, kaji:0.0776, tangga:0.0504, rumah:0.0457, efisiensi:0.0457, konsumsi:0.0457, tingkat:0.0435, listrik:0.0379, energi:0.0005, manajemen:0.0005"
Doc 35,"publikasi:0.0645, lapor:0.0645, resmi:0.0645, buku:0.0645, web:0.0645, artikel:0.0645, ilmiah:0.0569, situs:0.0569, sumber:0.0569, relevan:0.0569, jurnal:0.0514, literatur:0.0514, perintah:0.0472, kaji:0.0472, indonesia:0.0438, tangga:0.0307, rumah:0.0278, efisiensi:0.0278, konsumsi:0.0278, listrik:0.0230, energi:0.0006, manajemen:0.0003"
Doc 36,"arah:0.0742, fokus:0.0654, studi:0.0654, perilaku:0.0654, kapita:0.0592, perintah:0.0543, bijak:0.0543, kaji:0.0543, masyarakat:0.0441, teknologi:0.0372, tangga:0.0353, rumah:0.0320, efisiensi:0.0320, konsumsi:0.0320, terap:0.0291, listrik:0.0265, energi:0.0011, manajemen:0.0004"
Doc 37,"jurnal:0.1127, portal:0.0707, base:0.0707, telusur:0.0707, kunci:0.0707, kata:0.0707, situs:0.0623, data:0.0623, indonesia:0.0480, baru:0.0480, guna:0.0420, tangga:0.0336, rumah:0.0304, konsumsi:0.0304, efisiensi:0.0304, listrik:0.0252, energi:0.0010, manajemen:0.0003"
Doc 38,"waktu:0.1183, dinamika:0.0742, rumus:0.0742, paham:0.0654, relevan:0.0654, lihat:0.0654, konteks:0.0654, strategi:0.0592, kapita:0.0592, butuh:0.0592, dasar:0.0592, efisien:0.0504, masyarakat:0.0441, lanjut:0.0393, konsumsi:0.0320, listrik:0.0265, energi:0.0007, manajemen:0.0004"
Doc 39,"waktu:0.0910, jauh:0.0571, urgensi:0.0571, mana:0.0571, saji:0.0571, tahun:0.0571, indikator:0.0571, lihat:0.0503, data:0.0503, ikut:0.0503, kapita:0.0455, butuh:0.0455, dasar:0.0455, penting:0.0455, kembang:0.0418, listrik:0.0408, efisien:0.0387, masyarakat:0.0339, konsumsi:0.0246, tingkat:0.0234, terap:0.0224, energi:0.0006, manajemen:0.0003"
Doc 40,"iring:0.0928, proses:0.0928, tumbuh:0.0928, memang:0.0928, ujung:0.0928, efektif:0.0818, krisis:0.0818, strategi:0.0740, boros:0.0629, bangun:0.0588, konsumsi:0.0400, tingkat:0.0381, listrik:0.0331, energi:0.0009, manajemen:0.0004"
Doc 41,"krusial:0.2120, sektor:0.1552, tangga:0.1009, rumah:0.0913, terap:0.0830, energi:0.0010, manajemen:0.0010"
Doc 42,"krisis:0.0595, tahan:0.0595, orientasi:0.0595, biaya:0.0538, solusi:0.0538, strategis:0.0538, tantang:0.0538, dukung:0.0538, nasional:0.0538, hemat:0.0458, lingkung:0.0357, lanjut:0.0357, tangga:0.0321, rumah:0.0291, konsumsi:0.0291, tingkat:0.0277, terap:0.0264, listrik:0.0241, energi:0.0010, manajemen:0.0003"
Doc 43,"kurang:0.1045, guna:0.0980, rencana:0.0825, optimal:0.0825, pantau:0.0825, nyaman:0.0825, atur:0.0825, tanpa:0.0825, sistematis:0.0825, produktivitas:0.0727, tuju:0.0657, boros:0.0560, dekat:0.0560, energi:0.0008, manajemen:0.0004"
Doc 44,"lingkup:0.0825, luas:0.0825, individu:0.0825, ubah:0.0825, mulai:0.0825, perilaku:0.0727, konteks:0.0727, dukung:0.0657, perintah:0.0604, bijak:0.0604, manfaat:0.0604, ruang:0.0560, efisien:0.0560, teknologi:0.0413, tangga:0.0392, rumah:0.0355, energi:0.0004, manajemen:0.0004"
Doc 45,"langkah:0.1649, awal:0.1315, literasi:0.1315, masyarakat:0.0980, tingkat:0.0677, terap:0.0646, energi:0.0016, manajemen:0.0008"
Doc 46,"teknis:0.1237, terobos:0.1237, signifikan:0.1090, sisi:0.0986, pintar:0.0986, kembang:0.0905, teknologi:0.0620, tangga:0.0588, rumah:0.0533, terap:0.0484, energi:0.0006, manajemen:0.0006"
Doc 47,"cipta:0.1649, kondusif:0.1649, iklim:0.1649, implementasi:0.1454, peran:0.1315, penting:0.1315, perintah:0.1207, energi:0.0008, manajemen:0.0008"
Doc 48,"integrasi:0.1315, solusi:0.1315, dekat:0.1119, baru:0.1119, lanjut:0.0873, efisiensi:0.0710, energi:0.0016, manajemen:0.0008"
Doc 49,"semata:0.1855, capai:0.1855, bijak:0.1358, dekat:0.1259, hasil:0.1103, teknologi:0.0930, energi:0.0009, manajemen:0.0009"
Doc 50,"depan:0.0873, fondasi:0.0873, masa:0.0873, lonjak:0.0873, seluruh:0.0873, wawas:0.0873, penting:0.0696, sektor:0.0639, bangun:0.0553, alat:0.0519, lingkung:0.0462, tangga:0.0415, rumah:0.0376, konsumsi:0.0376, listrik:0.0312, energi:0.0004, manajemen:0.0004"
Doc 51,"solusi:0.0910, kurang:0.0723, jangka:0.0571, gantung:0.0571, daya:0.0571, aktif:0.0571, global:0.0571, agenda:0.0571, struktur:0.0571, fosil:0.0571, panjang:0.0571, kontribusi:0.0571, orientasi:0.0503, sumber:0.0503, emisi:0.0503, nasional:0.0455, hemat:0.0387, indonesia:0.0387, bangun:0.0362, lanjut:0.0302, terap:0.0224, energi:0.0006, manajemen:0.0003"
Doc 52,"label:0.0550, panel:0.0485, atap:0.0485, surya:0.0485, tekan:0.0485, integrasi:0.0438, literasi:0.0438, strategi:0.0438, pintar:0.0438, bukti:0.0438, kembang:0.0402, edukasi:0.0373, boros:0.0373, baru:0.0373, hemat:0.0373, mampu:0.0327, guna:0.0327, alat:0.0327, teknologi:0.0276, rumah:0.0237, terap:0.0215, energi:0.0013, manajemen:0.0003"
Doc 53,"kuat:0.0742, jawab:0.0742, demi:0.0742, demikian:0.0742, karbon:0.0742, tahan:0.0654, upaya:0.0654, emisi:0.0654, tantang:0.0592, butuh:0.0592, dukung:0.0592, nasional:0.0592, kurang:0.0470, bangun:0.0470, lanjut:0.0393, tingkat:0.0305, listrik:0.0265, energi:0.0007, manajemen:0.0004"
Doc 54,"pdf:0.0503, ggslrbv:0.0252, zagjtrzbqgs:0.0252, apkajlohf:0.0252, pnzpninhit:0.0252, ana:0.0252, pair:0.0252, dstudi:0.0252, tumwphwm:0.0252, wqtxts:0.0252, bcs:0.0252, erqotpqb:0.0252, rptyew:0.0252, disposition:0.0252, libre:0.0252, ofaauqyrab:0.0252, ccfig:0.0252, ojuucrbjba:0.0252, key:0.0252, content:0.0252, filename:0.0252, fxveey:0.0252, bvnojlndtfefr:0.0252, inline:0.0252, expires:0.0252, qrrb:0.0252, nqti:0.0252, net:0.0252, jesokn:0.0252, aqhlq:0.0252, signature:0.0252, jyciy:0.0252, ghsprfikam:0.0252, jtcep:0.0252, xtw:0.0252, qef:0.0252, xzle:0.0252, srcbnodxi:0.0252, pqrwrnekknqf:0.0252, wtdbm:0.0252, cloudfront:0.0252, eiluhcj:0.0252, kfog:0.0252, response:0.0252, iugvucsl:0.0252, rnoogr:0.0252, ezd:0.0252, gzy:0.0252, ktend:0.0252, dowvvum:0.0252, ffanhj:0.0252, hqembcoqmmcd:0.0252, brzy:0.0252, kmgr:0.0252, https:0.0201, listrik:0.0090, manajemen:0.0001, energi:0.0001"
Doc 55,"bidang:0.3381, bagai:0.1060, didik:0.1060, banyak:0.1060, industri:0.1060, sehat:0.1060, teliti:0.0561, audit:0.0435, energi:0.0010, manajemen:0.0005"
Doc 56,"energimasih:0.1649, mungkin:0.1454, guna:0.0980, sistem:0.0980, efisiensi:0.0710, tingkat:0.0677, terap:0.0646, energi:0.0008, manajemen:0.0008"
Doc 57,"ulang:0.1308, instalasi:0.1308, tinjau:0.1308, kelola:0.1183, bangun:0.0940, alat:0.0882, terap:0.0581, energi:0.0014, manajemen:0.0007"
Doc 58,"prinsip:0.2474, operasi:0.2474, alat:0.1470, energi:0.0024, manajemen:0.0012"
Doc 59,"padu:0.1484, mungkin:0.1308, guna:0.0882, sistem:0.0882, efisiensi:0.0639, tingkat:0.0609, terap:0.0581, energi:0.0014, manajemen:0.0007"
Doc 60,"ulang:0.1308, instalasi:0.1308, tinjau:0.1308, kelola:0.1183, bangun:0.0940, alat:0.0882, terap:0.0581, energi:0.0014, manajemen:0.0007"
Doc 61,"persentase:0.0928, banding:0.0928, kabupaten:0.0928, klungkung:0.0928, denga:0.0928, istrik:0.0928, bahas:0.0928, besar:0.0818, fokus:0.0818, sampai:0.0818, biaya:0.0740, listrik:0.0331, energi:0.0013, manajemen:0.0004"
