Sistem,Query,MAP@10,MRR@10,NDCG@10
TF-IDF (VSM),RATA-RATA,0.1367,0.27,0.1456
TF-IDF (VSM),1,0.15,0.25,0.3827
TF-IDF (VSM),2,0.5,1.0,0.2754
TF-IDF (VSM),3,0.0,0.0,0.0
TF-IDF (VSM),4,0.0,0.0,0.0
TF-IDF (VSM),5,0.0333,0.1,0.07
SBERT+FAISS,RATA-RATA,0.0267,0.06,0.0633
SBERT+FAISS,1,0.0,0.0,0.0
SBERT+FAISS,2,0.1,0.2,0.1065
SBERT+FAISS,3,0.0333,0.1,0.2099
SBERT+FAISS,4,0.0,0.0,0.0
SBERT+FAISS,5,0.0,0.0,0.0
SBERT+FAISS+CrossEncoder,RATA-RATA,0.04,0.0867,0.0695
SBERT+FAISS+CrossEncoder,1,0.0,0.0,0.0
SBERT+FAISS+CrossEncoder,2,0.1667,0.3333,0.1377
SBERT+FAISS+CrossEncoder,3,0.0333,0.1,0.2099
SBERT+FAISS+CrossEncoder,4,0.0,0.0,0.0
SBERT+FAISS+CrossEncoder,5,0.0,0.0,0.0
